time,data
2017-05-25 15:06:05,5.0181
2017-05-25 15:06:06,5.0183
2017-05-25 15:06:07,5.0185
2017-05-25 15:06:08,5.01845
2017-05-25 15:06:09,5.0184
2017-05-25 15:06:11,5.0183
2017-05-25 15:06:14,5.01825
2017-05-25 15:06:15,5.0182
2017-05-25 15:06:16,5.01815
2017-05-25 15:06:17,5.01745
2017-05-25 15:06:18,5.0175
2017-05-25 15:06:19,5.0175
2017-05-25 15:06:20,5.01745
2017-05-25 15:06:21,5.0174
2017-05-25 15:06:26,5.01745
2017-05-25 15:06:27,5.0176
2017-05-25 15:06:29,5.01735
2017-05-25 15:06:30,5.0173
2017-05-25 15:06:31,5.0174
2017-05-25 15:06:32,5.0174
2017-05-25 15:06:34,5.01735
2017-05-25 15:06:35,5.01755
2017-05-25 15:06:36,5.0176
2017-05-25 15:06:37,5.01755
2017-05-25 15:06:38,5.0175
2017-05-25 15:06:41,5.0177
2017-05-25 15:06:42,5.0178
2017-05-25 15:06:44,5.01795
2017-05-25 15:06:45,5.018
2017-05-25 15:06:46,5.0177
2017-05-25 15:06:47,5.0177
2017-05-25 15:06:48,5.0176
2017-05-25 15:06:49,5.0181
2017-05-25 15:06:50,5.01815
2017-05-25 15:06:51,5.0183
2017-05-25 15:06:52,5.01805
2017-05-25 15:06:53,5.0181
2017-05-25 15:06:58,5.01805
2017-05-25 15:06:59,5.0178
2017-05-25 15:07:00,5.0177
2017-05-25 15:07:01,5.01775
2017-05-25 15:07:02,5.0177
2017-05-25 15:07:03,5.0177
2017-05-25 15:07:04,5.0179
2017-05-25 15:07:05,5.01785
2017-05-25 15:07:06,5.0179
2017-05-25 15:07:07,5.0181
2017-05-25 15:07:11,5.0182
2017-05-25 15:07:12,5.0185
2017-05-25 15:07:13,5.0183
2017-05-25 15:07:14,5.0184
2017-05-25 15:07:15,5.0183
2017-05-25 15:07:17,5.01835
2017-05-25 15:07:18,5.0183
2017-05-25 15:07:19,5.01835
2017-05-25 15:07:20,5.0183
2017-05-25 15:07:21,5.01825
2017-05-25 15:07:22,5.0189
2017-05-25 15:07:24,5.01895
2017-05-25 15:07:25,5.019
2017-05-25 15:07:26,5.01895
2017-05-25 15:07:27,5.019
2017-05-25 15:07:28,5.0192
